period,nerc.region,demand.mwh,SO2
2020-01-08T08,RFC,180126,0
2020-01-08T09,RFC,180690,0
2020-01-08T10,RFC,182050,0
2020-01-08T11,RFC,188054,0
2020-01-08T12,RFC,202884,0
2020-01-08T13,RFC,212774,0
2020-01-08T14,RFC,212000,0
2020-01-08T15,RFC,206556,0
2020-01-08T16,RFC,201324,0
2020-01-08T17,RFC,197198,0
2020-01-08T18,RFC,194464,0
2020-01-08T19,RFC,193400,0
2020-01-08T20,RFC,191714,0
2020-01-08T21,RFC,192696,0
2020-01-08T22,RFC,199240,0
2020-01-08T23,RFC,211226,0
2020-01-09T00,RFC,216864,0
2020-01-09T01,RFC,216180,0
2020-01-09T02,RFC,214002,0
2020-01-09T03,RFC,208468,0
2020-01-09T04,RFC,198916,0
2020-01-09T05,RFC,192362,0
2020-01-09T06,RFC,188570,0
2020-01-09T07,RFC,186054,0
2020-01-09T08,RFC,185656,0
2020-01-09T09,RFC,187226,0
2020-01-09T10,RFC,191000,0
2020-01-09T11,RFC,199462,0
2020-01-09T12,RFC,216298,0
2020-01-09T13,RFC,225822,0
2020-01-09T14,RFC,222936,0
2020-01-09T15,RFC,215230,0
2020-01-09T16,RFC,208128,0
2020-01-09T17,RFC,202194,0
2020-01-09T18,RFC,197142,0
2020-01-09T19,RFC,194174,0
2020-01-09T20,RFC,192188,0
2020-01-09T21,RFC,194780,0
2020-01-09T22,RFC,198804,0
2020-01-09T23,RFC,208544,0
2020-01-10T00,RFC,211854,0
2020-01-10T01,RFC,209998,0
2020-01-10T02,RFC,206248,0
2020-01-10T03,RFC,199138,0
2020-01-10T04,RFC,189420,0
2020-01-10T05,RFC,182432,0
2020-01-10T06,RFC,176180,0
2020-01-10T07,RFC,172194,0
2020-01-10T08,RFC,169776,0
2020-01-10T09,RFC,168580,0
2020-01-10T10,RFC,168842,0
2020-01-10T11,RFC,175286,0
2020-01-10T12,RFC,189468,0
2020-01-10T13,RFC,198536,0
2020-01-10T14,RFC,197516,0
2020-01-10T15,RFC,194522,0
2020-01-10T16,RFC,191952,0
2020-01-10T17,RFC,187960,0
2020-01-10T18,RFC,184386,0
2020-01-10T19,RFC,181322,0
2020-01-10T20,RFC,179216,0
2020-01-10T21,RFC,178054,0
2020-01-10T22,RFC,180920,0
2020-01-10T23,RFC,187536,0
2020-01-11T00,RFC,186952,0
2020-01-11T01,RFC,183692,0
2020-01-11T02,RFC,179408,0
2020-01-11T03,RFC,173876,0
2020-01-11T04,RFC,167764,0
2020-01-11T05,RFC,160904,0
2020-01-11T06,RFC,153998,0
2020-01-11T07,RFC,148956,0
2020-01-11T08,RFC,146840,0
2020-01-11T09,RFC,145954,0
2020-01-11T10,RFC,146174,0
2020-01-11T11,RFC,148456,0
2020-01-11T12,RFC,150996,0
2020-01-11T13,RFC,153854,0
2020-01-11T14,RFC,157278,0
2020-01-11T15,RFC,160502,0
2020-01-11T16,RFC,162048,0
2020-01-11T17,RFC,161838,0
2020-01-11T18,RFC,160810,0
2020-01-11T19,RFC,159478,0
2020-01-11T20,RFC,157940,0
2020-01-11T21,RFC,157370,0
2020-01-11T22,RFC,160272,0
2020-01-11T23,RFC,167848,0
2020-01-12T00,RFC,168712,0
2020-01-12T01,RFC,165826,0
2020-01-12T02,RFC,162294,0
2020-01-12T03,RFC,157382,0
2020-01-12T04,RFC,151372,0
2020-01-12T05,RFC,147428,0
2020-01-12T06,RFC,141882,0
2020-01-12T07,RFC,139226,0
2020-01-12T08,RFC,137622,0
2020-01-12T09,RFC,136076,0
2020-01-12T10,RFC,134462,0
2020-01-12T11,RFC,136670,0
2020-01-12T12,RFC,140592,0
2020-01-12T13,RFC,144562,0
2020-01-12T14,RFC,148050,0
2020-01-12T15,RFC,151844,0
2020-01-12T16,RFC,154652,0
2020-01-12T17,RFC,155168,0
2020-01-12T18,RFC,155430,0
2020-01-12T19,RFC,155072,0
2020-01-12T20,RFC,154914,0
2020-01-12T21,RFC,156720,0
2020-01-12T22,RFC,161038,0
2020-01-12T23,RFC,171682,0
2020-01-13T00,RFC,175780,0
2020-01-13T01,RFC,174588,0
2020-01-13T02,RFC,171764,0
2020-01-13T03,RFC,166142,0
2020-01-13T04,RFC,160216,0
2020-01-13T05,RFC,154958,0
2020-01-13T06,RFC,150650,0
2020-01-13T07,RFC,148182,0
2020-01-13T08,RFC,147270,0
2020-01-13T09,RFC,148160,0
2020-01-13T10,RFC,151318,0
2020-01-13T11,RFC,160444,0
2020-01-13T12,RFC,176970,0
2020-01-13T13,RFC,188598,0
2020-01-13T14,RFC,190050,0
2020-01-13T15,RFC,189710,0
2020-01-13T16,RFC,188358,0
2020-01-13T17,RFC,186598,0
